Participant,Attendance time,Camera time,Mic time,Time speaking,Time presenting,Hands raised,Emojis sent,Messages sent
92a66ccdd2dc048646b940702877736fa5941c6eafee717b3ff480cabb9ab3f4,03:05:45,02:50:38,00:08:18,00:03:50,00:00:00,2,34,5
939065eece719c2e24382f347e0395ab9aa3f4933249c3b2ad1a1fa7027a91be,03:05:33,02:46:38,00:03:34,00:02:41,00:00:00,1,36,0
2b2a60f6e5485123c6c8aa012d76f76187489ddd5d003a82d627986f4c928125,02:33:26,02:03:21,00:14:41,00:11:11,00:00:00,6,94,24
cbb84bc2fe8d064e85a7b92507d3e1087847c3320c007173f98e6a3fed9bc570,03:05:18,02:41:10,00:31:43,00:16:30,00:00:00,6,88,9
6b1335aa7b237370369cd619a67b4695844f97bc1f42bec8b7771615fe6d4d74,03:06:18,02:39:44,00:00:00,00:00:00,00:00:00,0,32,5
2d737c12904c8a1890cfb106c74c02684317184d8dff3fbe83324bc1d21d438d,01:10:19,00:00:00,00:00:00,00:00:00,00:00:00,0,0,0
4b11afc7fc6458effe203e924722e2863e66f4fe0b1ba20b41d68e3328415800,03:06:13,02:27:49,00:01:35,00:00:24,00:00:00,0,7,0
365bea1e0e58d1dd2124f6156f41cf26bde7babc74cbeaf8936f7fecc65ae654,03:03:40,01:46:16,00:00:03,00:00:02,00:00:00,0,6,1
daed0aa5ffdee628ae24991b2c984f66ac26a172f830bb0b12ed5d9dacb0d2a2,03:05:01,02:24:40,00:07:31,00:04:49,00:00:00,1,55,3
edab98fbc0a76faf6231492eccd3cac4779cdce812248f4147136a9d51c281b6,03:09:42,01:52:46,00:35:33,00:11:03,00:00:00,2,54,58
71ebcb21b682814489a1c1ca431691e9c0c38a28ebeecec2eec5e6e3d75b554b,03:05:55,02:47:16,00:00:00,00:00:00,00:00:00,0,44,5
9e5ef9fc98988ed88abae4dcc91ea7b05672e5ea261b5ba9f25fce1a110dfcd1,03:04:24,02:28:33,00:17:30,00:06:33,00:00:00,1,18,24
47a7c412c0ede005f50d7fcf7c9207e69e53f2045d81c793edad4b893693202a,03:04:00,01:29:15,00:00:00,00:00:00,00:00:00,0,10,0
dba68f39815752c5ce8ed9ed8740d520ad5b1fd9640f8d95c377170d0fef76e8,03:10:10,00:00:00,00:20:34,00:14:07,00:00:00,9,35,10
ca37c192f9f7539369cd549189760345543f168d828f33f85f4799745a41e45a,03:03:44,02:09:28,00:00:08,00:00:05,00:00:00,0,99,0
2b2a60f6e5485123c6c8aa012d76f76187489ddd5d003a82d627986f4c928125,02:45:03,00:00:54,00:00:47,00:00:45,00:00:00,0,0,2
3c24c973491a4900c95f36a53c7e70a52c48a08e706edab9eaa8ab7911af7b39,03:08:47,02:32:56,00:02:12,00:01:55,00:00:00,1,3,0
2b2a60f6e5485123c6c8aa012d76f76187489ddd5d003a82d627986f4c928125,03:10:00,00:14:53,00:04:23,00:03:09,00:00:00,1,13,6
6d26619b6b29eaeba89901c3aac888cec5093965f5fcaf3420d9f0038024c29f,02:58:03,01:58:54,00:06:55,00:03:57,00:00:00,0,177,20
04b90521e23b6a5589c7f55c86a71a3fe223dd4631ea51fac7d42ec3ffb561f6,03:09:45,02:34:07,02:53:32,02:13:51,02:10:18,0,0,0
a73035ba29e279c7dd54a959055e0ddafacb294addf8dfe8fdf5ac0118550f6d,03:04:21,02:32:43,00:06:04,00:04:10,00:00:00,1,13,2
86542b003e830186a9f5a8ce2f147bfecf7ba00c73e89747924abb431c4807ef,03:03:39,01:05:33,00:00:00,00:00:00,00:00:00,0,9,2
8e59bee15978f8c0a1d9a9d82802b2be19083c373454fd44681f83c5524c2b35,02:43:02,01:00:39,02:14:47,00:00:00,00:00:00,0,58,19
5c42c56b65dbc3ef6676cd3cb68accb47c45ee9b25ce5480bd255422d673da0f,03:09:10,00:17:09,00:00:00,00:00:00,00:00:00,0,0,1
ba3138325b35c4d45f2a9ece725128f7b9f88df5c4828e0635447b84c5d51e7b,03:10:00,02:52:30,00:11:38,00:10:09,00:00:00,9,294,8
d59df35ac8cca9741c7d14751827a93372178571f12e725a4d11d3452463a502,03:08:08,02:43:26,00:00:00,00:00:00,00:00:00,0,1,0
f5e39c38b5d7ae57a67a4e533d1c3fbadcbddae039868a0c222dd0be50cf8560,03:00:41,02:12:05,00:00:01,00:00:00,00:00:00,0,5,2
2b2a60f6e5485123c6c8aa012d76f76187489ddd5d003a82d627986f4c928125,02:38:11,00:00:00,00:00:00,00:00:00,00:00:00,0,0,0
ad6acd323806e30ca6a37ad2cb78f28493addc17339ef246b2934e18a7765b07,02:46:10,01:26:00,00:01:42,00:00:47,00:00:00,0,65,2
