Participant,Attendance time,Camera time,Mic time,Time speaking,Time presenting,Hands raised,Emojis sent,Messages sent
9e5ef9fc98988ed88abae4dcc91ea7b05672e5ea261b5ba9f25fce1a110dfcd1,02:56:57,02:32:50,00:32:46,00:09:20,00:00:00,0,16,13
3c24c973491a4900c95f36a53c7e70a52c48a08e706edab9eaa8ab7911af7b39,02:56:47,02:03:52,00:00:14,00:00:09,00:00:00,0,0,1
365bea1e0e58d1dd2124f6156f41cf26bde7babc74cbeaf8936f7fecc65ae654,02:55:08,02:42:31,00:00:53,00:00:45,00:00:00,0,12,2
86542b003e830186a9f5a8ce2f147bfecf7ba00c73e89747924abb431c4807ef,02:58:53,01:53:23,00:00:00,00:00:00,00:00:00,0,2,3
04b90521e23b6a5589c7f55c86a71a3fe223dd4631ea51fac7d42ec3ffb561f6,03:31:59,02:35:58,03:15:43,02:34:27,02:33:26,0,1,4
4b11afc7fc6458effe203e924722e2863e66f4fe0b1ba20b41d68e3328415800,03:31:57,02:29:52,00:20:10,00:10:15,00:10:04,0,3,0
ad6acd323806e30ca6a37ad2cb78f28493addc17339ef246b2934e18a7765b07,02:52:49,01:52:46,00:01:45,00:00:45,00:00:00,0,33,8
ba3138325b35c4d45f2a9ece725128f7b9f88df5c4828e0635447b84c5d51e7b,02:57:01,02:41:26,00:14:22,00:11:43,00:10:57,2,121,6
6b1335aa7b237370369cd619a67b4695844f97bc1f42bec8b7771615fe6d4d74,03:08:52,01:50:44,00:00:10,00:00:07,00:00:00,1,29,8
dba68f39815752c5ce8ed9ed8740d520ad5b1fd9640f8d95c377170d0fef76e8,02:58:57,02:09:41,00:17:12,00:10:56,00:18:48,2,30,3
939065eece719c2e24382f347e0395ab9aa3f4933249c3b2ad1a1fa7027a91be,02:58:50,02:08:46,00:04:48,00:04:06,00:00:00,4,7,0
daed0aa5ffdee628ae24991b2c984f66ac26a172f830bb0b12ed5d9dacb0d2a2,02:53:21,01:41:20,00:02:06,00:01:25,00:00:00,0,29,2
47a7c412c0ede005f50d7fcf7c9207e69e53f2045d81c793edad4b893693202a,02:58:54,01:53:08,00:00:00,00:00:00,00:00:00,0,38,4
2b2a60f6e5485123c6c8aa012d76f76187489ddd5d003a82d627986f4c928125,03:09:11,02:40:16,00:31:21,00:21:25,00:00:00,10,71,30
5c42c56b65dbc3ef6676cd3cb68accb47c45ee9b25ce5480bd255422d673da0f,02:54:49,00:00:40,00:00:00,00:00:00,00:00:00,0,0,5
d59df35ac8cca9741c7d14751827a93372178571f12e725a4d11d3452463a502,02:59:17,02:48:35,00:02:28,00:01:48,00:00:00,1,4,4
edab98fbc0a76faf6231492eccd3cac4779cdce812248f4147136a9d51c281b6,03:12:41,01:41:53,00:16:53,00:04:32,00:00:00,0,87,57
8e59bee15978f8c0a1d9a9d82802b2be19083c373454fd44681f83c5524c2b35,03:20:52,02:17:06,00:18:17,00:08:25,00:16:36,2,35,9
71ebcb21b682814489a1c1ca431691e9c0c38a28ebeecec2eec5e6e3d75b554b,02:58:57,01:56:15,00:02:01,00:00:06,00:00:00,0,96,7
a73035ba29e279c7dd54a959055e0ddafacb294addf8dfe8fdf5ac0118550f6d,02:59:07,01:54:10,00:00:12,00:00:10,00:00:00,0,6,0
2d737c12904c8a1890cfb106c74c02684317184d8dff3fbe83324bc1d21d438d,02:59:24,02:14:12,00:13:14,00:02:11,00:00:00,0,6,5
92a66ccdd2dc048646b940702877736fa5941c6eafee717b3ff480cabb9ab3f4,02:54:50,02:03:26,00:00:31,00:00:25,00:00:00,0,19,3
6d26619b6b29eaeba89901c3aac888cec5093965f5fcaf3420d9f0038024c29f,02:51:56,01:48:42,00:00:26,00:00:18,00:00:00,0,147,14
cbb84bc2fe8d064e85a7b92507d3e1087847c3320c007173f98e6a3fed9bc570,02:58:54,02:28:57,00:31:05,00:13:38,00:00:46,8,58,4
